,Season,Name,Team,WAR
6,2022,Aaron Judge,NYY,11.1
26,2022,Nolan Arenado,STL,7.2
23,2022,Manny Machado,SDP,7.1
17,2022,Jose Altuve,HOU,6.9
13,2022,Paul Goldschmidt,STL,6.8
21,2022,Freddie Freeman,LAD,6.8
71,2022,J.T. Realmuto,PHI,6.7
123,2022,Dansby Swanson,ATL,6.6
10,2022,Yordan Alvarez,HOU,6.4
81,2022,Trea Turner,LAD,6.4
115,2022,Francisco Lindor,NYM,6.4
54,2022,Andres Gimenez,CLE,6.1
14,2022,Mike Trout,LAA,6.0
30,2022,Mookie Betts,LAD,6.0
58,2022,Jose Ramirez,CLE,6.0
57,2022,Xander Bogaerts,BOS,6.0
28,2022,Austin Riley,ATL,5.9
47,2022,Julio Rodriguez,SEA,5.7
72,2022,Adley Rutschman,BAL,5.6
50,2022,Jeff McNeil,NYM,5.5
74,2022,Brandon Nimmo,NYM,5.5
64,2022,Alex Bregman,HOU,5.4
199,2022,Tommy Edman,STL,5.4
140,2022,Sean Murphy,OAK,5.2
32,2022,Rafael Devers,BOS,5.0
90,2022,Kyle Tucker,HOU,4.9
91,2022,Bo Bichette,TOR,4.8
46,2022,Michael Harris II,ATL,4.7
116,2022,Steven Kwan,CLE,4.7
59,2022,Carlos Correa,MIN,4.6
165,2022,Willy Adames,MIL,4.4
201,2022,Marcus Semien,TEX,4.4
87,2022,Will Smith,LAD,4.3
99,2022,Eugenio Suarez,SEA,4.3
93,2022,Alejandro Kirk,TOR,4.3
141,2022,Corey Seager,TEX,4.3
177,2022,Daulton Varsho,ARI,4.3
190,2022,Nico Hoerner,CHC,4.3
145,2022,Cal Raleigh,SEA,4.2
77,2022,George Springer,TOR,4.0
48,2022,Yandy Diaz,TBR,3.9
95,2022,Christian Walker,ARI,3.9
107,2022,Travis d'Arnaud,ATL,3.9
142,2022,Matt Chapman,TOR,3.9
49,2022,Pete Alonso,NYM,3.8
61,2022,Jose Abreu,CHW,3.8
332,2022,Jose Trevino,NYY,3.8
29,2022,Juan Soto,- - -,3.7
60,2022,Taylor Ward,LAA,3.7
118,2022,Ian Happ,CHC,3.7
211,2022,Cedric Mullins,BAL,3.7
42,2022,Shohei Ohtani,LAA,3.6
196,2022,Jake Cronenworth,SDP,3.6
229,2022,Ha-seong Kim,SDP,3.6
66,2022,Willson Contreras,CHC,3.5
68,2022,Starling Marte,NYM,3.5
67,2022,Byron Buxton,MIN,3.4
245,2022,Elvis Andrus,- - -,3.4
79,2022,Vladimir Guerrero Jr.,TOR,3.3
248,2022,Jeremy Pena,HOU,3.3
166,2022,Adolis Garcia,TEX,3.2
45,2022,Nathaniel Lowe,TEX,3.1
82,2022,Brandon Drury,- - -,3.1
102,2022,Matt Olson,ATL,3.1
162,2022,Ryan McMahon,COL,3.1
146,2022,DJ LeMahieu,NYY,3.1
240,2022,Amed Rosario,CLE,3.1
322,2022,Ke'Bryan Hayes,PIT,3.1
89,2022,Teoscar Hernandez,TOR,3.0
85,2022,Bryan Reynolds,PIT,2.9
200,2022,Thairo Estrada,SFG,2.8
387,2022,Jorge Mateo,BAL,2.8
56,2022,Danny Jansen,TOR,2.7
83,2022,Luis Arraez,MIN,2.7
129,2022,Randy Arozarena,TBR,2.7
150,2022,Gavin Lux,LAD,2.7
269,2022,Jonah Heim,TEX,2.7
44,2022,Bryce Harper,PHI,2.6
112,2022,Lars Nootbaar,STL,2.6
124,2022,Ty France,SEA,2.6
86,2022,Brendan Donovan,STL,2.6
137,2022,Gio Urshela,MIN,2.6
149,2022,Gleyber Torres,NYY,2.6
227,2022,Ramon Urias,BAL,2.6
51,2022,Jazz Chisholm Jr.,MIA,2.5
76,2022,Anthony Rizzo,NYY,2.5
106,2022,Mark Canha,NYM,2.5
161,2022,Josh Rojas,ARI,2.5
206,2022,Trevor Story,BOS,2.5
187,2022,Jurickson Profar,SDP,2.5
5,2022,Matt Carpenter,NYY,2.4
31,2022,Joc Pederson,SFG,2.4
94,2022,Hunter Renfroe,MIL,2.4
96,2022,Rhys Hoskins,PHI,2.4
130,2022,Ronald Acuna Jr.,ATL,2.4
174,2022,Isaac Paredes,TBR,2.4
155,2022,Luis Urias,MIL,2.4
159,2022,Chas McCormick,HOU,2.4
271,2022,Santiago Espinal,TOR,2.4
37,2022,Trayce Thompson,- - -,2.3
110,2022,Justin Turner,LAD,2.3
128,2022,Anthony Santander,BAL,2.3
127,2022,Kolten Wong,MIL,2.3
169,2022,Wander Franco,TBR,2.3
241,2022,Bobby Witt Jr.,KCR,2.3
70,2022,Kyle Schwarber,PHI,2.2
125,2022,Jake McCarthy,ARI,2.2
151,2022,Christian Yelich,MIL,2.2
176,2022,Tim Anderson,CHW,2.2
268,2022,J.P. Crawford,SEA,2.2
303,2022,Jon Berti,MIA,2.2
105,2022,Josh Bell,- - -,2.1
100,2022,Austin Slater,SFG,2.1
167,2022,Luis Robert Jr.,CHW,2.1
218,2022,Tyrone Taylor,MIL,2.1
189,2022,Jean Segura,PHI,2.1
267,2022,Jace Peterson,MIL,2.1
27,2022,Albert Pujols,STL,2.0
38,2022,William Contreras,ATL,2.0
113,2022,Andrew Benintendi,- - -,2.0
132,2022,Seiya Suzuki,CHC,2.0
121,2022,Dylan Moore,SEA,2.0
170,2022,Seby Zavala,CHW,2.0
198,2022,Max Muncy,LAD,2.0
339,2022,Javier Baez,DET,2.0
346,2022,Brandon Crawford,SFG,2.0
139,2022,Josh Naylor,CLE,1.9
237,2022,Eduardo Escobar,NYM,1.9
233,2022,Christian Vazquez,- - -,1.9
264,2022,Dylan Carlson,STL,1.9
184,2022,Brendan Rodgers,COL,1.8
202,2022,Ketel Marte,ARI,1.8
219,2022,Austin Hays,BAL,1.8
235,2022,Luis Guillorme,NYM,1.8
312,2022,Michael A. Taylor,KCR,1.8
439,2022,Jose Siri,- - -,1.8
18,2022,Joey Meneses,WSN,1.7
136,2022,Jorge Polanco,MIN,1.7
183,2022,Nick Gordon,MIN,1.7
178,2022,Christopher Morel,CHC,1.7
214,2022,David Peralta,- - -,1.7
207,2022,Ryan Mountcastle,BAL,1.7
224,2022,Luis Rengifo,LAA,1.7
298,2022,Christian Bethancourt,- - -,1.7
304,2022,Chris Taylor,LAD,1.7
394,2022,Trent Grisham,SDP,1.7
40,2022,Eloy Jimenez,CHW,1.6
295,2022,Josh Donaldson,NYY,1.6
302,2022,Max Kepler,MIN,1.6
381,2022,Kyle Higashioka,NYY,1.6
36,2022,Tyler Stephenson,CIN,1.5
171,2022,Seth Brown,OAK,1.5
156,2022,Lourdes Gurriel Jr.,TOR,1.5
250,2022,Kyle Farmer,CIN,1.5
259,2022,Tyler O'Neill,STL,1.5
262,2022,Mike Yastrzemski,SFG,1.5
273,2022,Josh Harrison,CHW,1.5
301,2022,Keibert Ruiz,WSN,1.5
373,2022,Cody Bellinger,LAD,1.5
347,2022,Victor Caratini,MIL,1.5
368,2022,Isiah Kiner-Falefa,NYY,1.5
489,2022,Myles Straw,CLE,1.5
52,2022,Vinnie Pasquantino,KCR,1.4
65,2022,Corbin Carroll,ARI,1.4
84,2022,Daniel Vogelbach,- - -,1.4
109,2022,J.D. Martinez,BOS,1.4
117,2022,Oscar Gonzalez,CLE,1.4
131,2022,C.J. Cron,COL,1.4
144,2022,Evan Longoria,SFG,1.4
148,2022,Jose Miranda,MIN,1.4
186,2022,Oneil Cruz,PIT,1.4
188,2022,Sam Haggerty,SEA,1.4
246,2022,Alec Bohm,PHI,1.4
257,2022,Lane Thomas,WSN,1.4
294,2022,Ildemaro Vargas,- - -,1.4
317,2022,Brandon Marsh,- - -,1.4
315,2022,Reese McGuire,- - -,1.4
342,2022,Gary Sanchez,MIN,1.4
358,2022,Harrison Bader,- - -,1.4
351,2022,Tony Kemp,OAK,1.4
452,2022,Tomas Nido,NYM,1.4
152,2022,Harold Ramirez,TBR,1.3
180,2022,Oswaldo Cabrera,NYY,1.3
231,2022,Wilmer Flores,SFG,1.3
234,2022,Jose Iglesias,COL,1.3
213,2022,Austin Barnes,LAD,1.3
253,2022,Manuel Margot,TBR,1.3
255,2022,Nick Fortes,MIA,1.3
323,2022,Whit Merrifield,- - -,1.3
293,2022,Cavan Biggio,TOR,1.3
345,2022,Bryson Stott,PHI,1.3
384,2022,Edmundo Sosa,- - -,1.3
425,2022,Adam Frazier,SEA,1.3
437,2022,Omar Narvaez,MIL,1.3
525,2022,Jonathan Schoop,DET,1.3
134,2022,J.D. Davis,- - -,1.2
143,2022,Garrett Cooper,MIA,1.2
179,2022,Eric Haase,DET,1.2
205,2022,Patrick Wisdom,CHC,1.2
242,2022,Wil Myers,SDP,1.2
239,2022,Jack Suwinski,PIT,1.2
265,2022,Emmanuel Rivera,- - -,1.2
288,2022,Kevin Newman,PIT,1.2
314,2022,Leody Taveras,TEX,1.2
98,2022,Michael Brantley,HOU,1.1
154,2022,Giancarlo Stanton,NYY,1.1
192,2022,Alex Verdugo,BOS,1.1
276,2022,Ozzie Albies,ATL,1.1
348,2022,Joey Wendle,MIA,1.1
440,2022,Miguel Rojas,MIA,1.1
25,2022,Rob Refsnyder,BOS,1.0
153,2022,Rowdy Tellez,MIL,1.0
181,2022,Ji-Man Choi,TBR,1.0
232,2022,Trey Mancini,- - -,1.0
285,2022,Riley Greene,DET,1.0
360,2022,Kevin Kiermaier,TBR,1.0
15,2022,Sean Bouchard,COL,0.9
103,2022,David Villar,SFG,0.9
193,2022,Mitch Haniger,SEA,0.9
173,2022,Yonathan Daza,COL,0.9
209,2022,Rodolfo Castro,PIT,0.9
221,2022,Anthony Rendon,LAA,0.9
254,2022,Carlos Santana,- - -,0.9
334,2022,Aaron Hicks,NYY,0.9
396,2022,Zach McKinstry,- - -,0.9
434,2022,Yan Gomes,CHC,0.9
508,2022,Nicky Lopez,KCR,0.9
53,2022,Garrett Mitchell,MIL,0.8
78,2022,Jake Fraley,CIN,0.8
97,2022,Vaughn Grissom,ATL,0.8
108,2022,Gunnar Henderson,BAL,0.8
104,2022,Danny Mendick,CHW,0.8
168,2022,Salvador Perez,KCR,0.8
163,2022,Gabriel Moreno,TOR,0.8
225,2022,Nate Eaton,KCR,0.8
297,2022,Aledmys Diaz,HOU,0.8
230,2022,Jesse Winker,SEA,0.8
320,2022,Adam Duvall,ATL,0.8
365,2022,Willi Castro,DET,0.8
352,2022,Ryan Jeffers,MIN,0.8
420,2022,Yoan Moncada,CHW,0.8
419,2022,David Fletcher,LAA,0.8
429,2022,Alek Thomas,ARI,0.8
454,2022,Martin Maldonado,HOU,0.8
11,2022,Livan Soto,LAA,0.7
69,2022,Garrett Stubbs,PHI,0.7
133,2022,Keston Hiura,MIL,0.7
172,2022,TJ Friedl,CIN,0.7
185,2022,Orlando Arcia,ATL,0.7
251,2022,Trevor Larnach,MIN,0.7
275,2022,Rafael Ortega,CHC,0.7
279,2022,Tommy Pham,- - -,0.7
355,2022,Owen Miller,CLE,0.7
386,2022,Luke Maile,CLE,0.7
518,2022,Tyler Heineman,- - -,0.7
35,2022,Conner Capel,- - -,0.6
41,2022,Kris Bryant,COL,0.6
34,2022,Oswald Peraza,NYY,0.6
73,2022,Mark Mathias,- - -,0.6
119,2022,Mike Brosseau,MIL,0.6
197,2022,Charles Leblanc,MIA,0.6
228,2022,Eric Hosmer,- - -,0.6
216,2022,Roberto Perez,PIT,0.6
249,2022,Andrew McCutchen,MIL,0.6
286,2022,Corey Dickerson,STL,0.6
266,2022,Brandon Lowe,TBR,0.6
