,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,cLI,Streak,Orig. Scheduled,Year
1,"Thursday, Mar 27",STL,Home,MIN,W,5.0,3.0,9.0,1-0,1.0,up 1.0,Gray,López,Helsley,2:41,D,.88,1,,2025
2,"Saturday, Mar 29",STL,Home,MIN,W,5.0,1.0,9.0,2-0,1.0,up 1.0,Fedde,Alcala,None,2:37,D,.91,2,,2025
3,"Sunday, Mar 30",STL,Home,MIN,W,9.0,2.0,9.0,3-0,1.0,up 2.0,Pallante,Ober,Matz,2:20,D,.94,3,,2025
4,"Monday, Mar 31",STL,Home,LAA,L,4.0,5.0,10.0,3-1,1.0,up 1.0,Burke,Romero,Johnson,2:56,N,1.02,-1,,2025
5,"Tuesday, Apr 1",STL,Home,LAA,L,7.0,9.0,11.0,3-2,1.0,up 0.5,Johnson,Roycroft,Zeferjahn,3:06,N,1.03,-2,,2025
6,"Wednesday, Apr 2",STL,Home,LAA,W,12.0,5.0,9.0,4-2,1.0,up 0.5,Romero,Anderson,None,2:48,D,.95,1,,2025
7,"Friday, Apr 4",STL,@,BOS,L,9.0,13.0,9.0,4-3,2.0,0.5,Buehler,Fedde,Chapman,3:00,D,.99,-1,,2025
8,"Sunday, Apr 6 (1)",STL,@,BOS,L-wo,4.0,5.0,10.0,4-4,3.0,1.5,Chapman,Fernandez,None,3:24,D,.91,-2,,2025
9,"Sunday, Apr 6 (2)",STL,@,BOS,L,7.0,18.0,9.0,4-5,3.0,1.5,Dobbins,Mikolas,Criswell,3:10,N,.90,-3,,2025
10,"Monday, Apr 7",STL,@,PIT,L,4.0,8.0,9.0,4-6,3.0,2.5,Mlodzinski,Liberatore,Harrington,2:31,N,.92,-4,,2025
11,"Tuesday, Apr 8",STL,@,PIT,W,5.0,3.0,9.0,5-6,3.0,2.5,Gray,Skenes,Maton,2:30,N,.89,1,,2025
12,"Wednesday, Apr 9",STL,@,PIT,L-wo,1.0,2.0,13.0,5-7,3.0,2.5,Lawrence,Roycroft,None,3:23,D,.93,-1,,2025
13,"Friday, Apr 11",STL,Home,PHI,W,2.0,0.0,9.0,6-7,3.0,1.5,Pallante,Nola,Helsley,2:17,N,.86,1,,2025
14,"Saturday, Apr 12",STL,Home,PHI,L,1.0,4.0,9.0,6-8,4.0,2.5,Sánchez,Mikolas,Alvarado,2:23,D,.89,-1,,2025
15,"Sunday, Apr 13",STL,Home,PHI,W,7.0,0.0,9.0,7-8,4.0,2.5,Liberatore,Wheeler,None,2:12,D,.87,1,,2025
16,"Monday, Apr 14",STL,Home,HOU,W,8.0,3.0,9.0,8-8,2.0,1.5,Gray,Valdez,None,2:36,N,.82,2,,2025
17,"Tuesday, Apr 15",STL,Home,HOU,L,0.0,2.0,9.0,8-9,4.0,2.5,Brown,Fedde,Hader,2:25,N,.83,-1,,2025
18,"Wednesday, Apr 16",STL,Home,HOU,W,4.0,1.0,9.0,9-9,3.0,1.5,Matz,Blanco,Helsley,2:24,D,.83,1,,2025
19,"Thursday, Apr 17",STL,@,NYM,L,1.0,4.0,9.0,9-10,3.0,2.0,Canning,Pallante,Díaz,2:31,N,.95,-1,,2025
20,"Friday, Apr 18",STL,@,NYM,L-wo,4.0,5.0,9.0,9-11,4.0,3.0,Brazobán,Fernandez,None,2:43,N,.88,-2,,2025
21,"Saturday, Apr 19",STL,@,NYM,L,0.0,3.0,9.0,9-12,4.0,4.0,Senga,Liberatore,Díaz,2:26,D,.84,-3,,2025
22,"Sunday, Apr 20",STL,@,NYM,L,4.0,7.0,9.0,9-13,4.0,4.0,Buttó,Romero,None,2:44,D,.79,-4,,2025
23,"Monday, Apr 21",STL,@,ATL,L,6.0,7.0,9.0,9-14,4.0,4.5,Hernández,Maton,None,2:11,N,.71,-5,,2025
24,"Tuesday, Apr 22",STL,@,ATL,W,10.0,4.0,9.0,10-14,4.0,4.5,Matz,De Los Santos,None,3:02,N,.69,1,,2025
25,"Wednesday, Apr 23",STL,@,ATL,L,1.0,4.0,9.0,10-15,4.0,5.5,Hernández,Romero,None,2:22,D,.71,-1,,2025
26,"Friday, Apr 25",STL,Home,MIL,W,3.0,2.0,9.0,11-15,4.0,5.5,Liberatore,Patrick,Helsley,2:29,N,.72,1,,2025
27,"Saturday, Apr 26",STL,Home,MIL,W-wo,6.0,5.0,9.0,12-15,4.0,4.5,Helsley,Megill,None,2:47,D,.74,2,,2025
